date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,home_sum,away_sum,year,home_win,home_draw,home_lose
2021.2.5,Jordan,Tajikistan,Asia,Asia,95,121,1244,1143,0,1,Friendly,Dubai,United Arab Emirates,TRUE,No,Lose,,,,,,,,,,,2021,FALSE,FALSE,TRUE
2021.2.15,Jordan,Uzbekistan,Asia,Asia,95,85,1244,1283,0,2,Friendly,Dubai,United Arab Emirates,TRUE,No,Lose,,,,,,,,66,,66,2021,FALSE,FALSE,TRUE
2021.2.24,Guatemala,Nicaragua,North America,North America,130,149,1112,1055,1,0,Friendly,Guatemala City,Guatemala,FALSE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.3.13,Kenya,South Sudan,Africa,Africa,104,163,1187,998,1,0,Friendly,Nairobi,Kenya,FALSE,No,Win,,,,,67,,,,67,,2021,TRUE,FALSE,FALSE
2021.3.15,Kenya,Tanzania,Africa,Africa,104,135,1187,1087,2,1,Friendly,Nairobi,Kenya,FALSE,No,Win,,,,,67,,,,67,,2021,TRUE,FALSE,FALSE
2021.3.17,Ethiopia,Malawi,Africa,Africa,146,123,1066,1140,4,0,Friendly,Bahir Dar,Ethiopia,FALSE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.3.20,Oman,Jordan,Asia,Asia,81,95,1303,1243,0,0,Friendly,Dubai,United Arab Emirates,TRUE,No,Draw,,,,,,,,,,,2021,FALSE,TRUE,FALSE
2021.3.24,Belarus,Honduras,Europe,North America,88,64,1269,1367,1,1,Friendly,Zhodzina,Belarus,FALSE,No,Draw,,,,,,68.8,72,,,140.8,2021,FALSE,TRUE,FALSE
2021.3.24,Jordan,Lebanon,Asia,Asia,95,92,1243,1263,1,0,Friendly,Dubai,United Arab Emirates,TRUE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.3.24,Kosovo,Lithuania,Europe,Europe,117,129,1155,1114,4,0,Friendly,Pristina,Kosovo,FALSE,No,Win,69,74,71.8,75,72.8,60,61.7,,288.6,195.7,2021,TRUE,FALSE,FALSE
2021.3.24,Qatar,Luxembourg,Asia,Europe,58,98,1391,1235,1,0,Friendly,Debrecen,Hungary,TRUE,No,Win,68,,68,74,72,68.2,,66,282,134.2,2021,TRUE,FALSE,FALSE
2021.3.24,Antigua and Barbuda,Montserrat,North America,North America,126,183,1127,921,2,2,FIFA World Cup qualification,Willemstad,Curaçao,TRUE,No,Draw,,,,,,,,,,,2021,FALSE,TRUE,FALSE
2021.3.24,Suriname,Cayman Islands,South America,North America,141,193,1073,897,3,0,FIFA World Cup qualification,Paramaribo,Suriname,FALSE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.3.24,Guatemala,Cuba,North America,North America,130,180,1112,936,1,0,FIFA World Cup qualification,Guatemala City,Guatemala,FALSE,No,Win,,65,,,,,,,,65,2021,TRUE,FALSE,FALSE
2021.3.24,Dominican Republic,Dominica,North America,North America,159,184,1018,919,1,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,FALSE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.3.24,St. Kitts and Nevis,Puerto Rico,North America,North America,140,179,1074,942,1,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.3.24,Portugal,Azerbaijan,Europe,Europe,5,108,1662,1180,1,0,FIFA World Cup qualification,Turin,Italy,TRUE,No,Win,79,,84,85,86,,,61.2,334,61.2,2021,TRUE,FALSE,FALSE
2021.3.24,Serbia,Republic of Ireland,Europe,Europe,30,42,1492,1456,3,2,FIFA World Cup qualification,Belgrade,Serbia,FALSE,No,Win,73,75,72,81,80,79,73.3,75.2,306,302.5,2021,TRUE,FALSE,FALSE
2021.3.24,France,Ukraine,Europe,Europe,2,24,1755,1521,1,1,FIFA World Cup qualification,Paris,France,FALSE,No,Draw,87,76,83,88,80,76,77,79.8,338,308.8,2021,FALSE,TRUE,FALSE
2021.3.24,Finland,Bosnia and Herzegovina,Europe,Europe,55,56,1411,1410,2,2,FIFA World Cup qualification,Helsinki,Finland,FALSE,No,Draw,83,75,71.2,71.3,72,74,76.3,80,297.5,305.3,2021,FALSE,TRUE,FALSE
